Employee_ID,Age,Gender,Department,Job_Role,Education,Marital_Status,Job_Level,Years_At_Company,Years_In_Industry,Monthly_Salary,Job_Satisfaction,Work_Life_Balance,Performance_Score,Training_Hours,Distance_From_Home_KM,Overtime,Attrition,Tenure_Band,Salary_Quartile,Performance_Category,Attrition_Flag
EMP10043,38,Male,Sales,Sales Manager,PhD,Married,1,0.7,7.1,46300.0,4.7,2.6,3.2,2,24.7,Yes,No,<1 Year,Q1,Good,0
EMP10044,32,Male,Research & Development,Research Scientist,Master's,Single,2,4.4,8.1,64000.0,1.8,4.1,3.9,3,6.2,No,No,3-5 Years,Q2,Good,0
EMP10045,33,Male,Sales,Sales Executive,Bachelor's,Single,3,2.9,1.5,77700.0,2.8,3.6,3.0,6,6.7,No,No,1-3 Years,Q3,Average,0
EMP10046,40,Male,Sales,Sales Representative,Bachelor's,Married,3,2.6,2.8,75100.0,2.2,2.0,2.5,2,10.7,No,No,1-3 Years,Q3,Average,0
EMP10047,34,Male,Finance,Accountant,Bachelor's,Married,1,1.2,4.2,37300.0,3.0,3.8,3.2,3,5.5,Yes,No,1-3 Years,Q1,Good,0
EMP10048,38,Male,Finance,Accountant,Bachelor's,Single,2,1.9,3.3,59500.0,2.8,3.4,3.4,4,1.7,No,Yes,1-3 Years,Q2,Good,1
EMP10049,34,Female,Marketing,Marketing Specialist,Bachelor's,Married,3,7.8,9.7,84100.0,3.0,1.8,3.9,2,4.8,Yes,No,5-10 Years,Q3,Good,0
EMP10050,36,Male,Sales,Sales Manager,Bachelor's,Divorced,3,6.2,10.0,86100.0,2.1,3.1,3.9,2,9.5,No,No,5-10 Years,Q3,Good,0
EMP10051,41,Female,Sales,Sales Representative,Bachelor's,Single,4,10.6,14.1,118200.0,3.6,1.9,3.0,1,1.4,No,No,10+ Years,Q4,Average,0
EMP10052,22,Female,Human Resources,Recruiter,Bachelor's,Married,5,13.9,18.6,118400.0,3.8,3.3,2.3,4,16.8,No,No,10+ Years,Q4,Average,0
EMP10053,34,Male,Sales,Sales Executive,Bachelor's,Single,2,2.0,3.0,52200.0,2.6,4.0,3.0,4,6.4,Yes,Yes,1-3 Years,Q1,Average,1
EMP10054,38,Female,Research & Development,R&D Manager,Bachelor's,Married,2,5.1,6.9,67200.0,3.0,4.1,3.9,2,9.9,No,No,5-10 Years,Q2,Good,0
EMP10055,30,Male,Sales,Sales Manager,Bachelor's,Married,3,5.9,8.9,93500.0,1.8,2.9,3.1,4,4.7,No,No,5-10 Years,Q4,Good,0
EMP10056,49,Male,Finance,Finance Manager,Master's,Single,2,3.7,6.5,66200.0,1.4,4.1,4.1,8,2.5,Yes,No,3-5 Years,Q2,Excellent,0
EMP10057,28,Female,Human Resources,Recruiter,Bachelor's,Married,5,17.4,19.2,137400.0,2.8,3.6,3.2,4,11.8,No,No,10+ Years,Q4,Good,0
EMP10058,32,Male,Research & Development,R&D Manager,Bachelor's,Married,1,3.6,6.8,58200.0,3.4,2.3,3.0,2,11.3,No,No,3-5 Years,Q2,Average,0
EMP10059,29,Female,Research & Development,R&D Manager,Bachelor's,Single,4,6.2,8.4,88700.0,2.7,3.2,3.2,5,2.8,Yes,No,5-10 Years,Q4,Good,0
EMP10060,42,Female,Finance,Accountant,Bachelor's,Married,3,2.4,7.1,70500.0,3.0,3.5,2.6,2,29.6,Yes,No,1-3 Years,Q3,Average,0
EMP10061,38,Male,Finance,Accountant,Bachelor's,Married,2,1.9,6.3,58500.0,2.3,2.1,2.3,4,4.3,No,No,1-3 Years,Q2,Average,0
EMP10062,51,Male,IT,Software Engineer,Bachelor's,Single,3,4.5,8.5,87000.0,3.2,3.8,3.5,3,10.7,No,No,3-5 Years,Q3,Good,0
EMP10063,29,Female,IT,IT Manager,Master's,Single,5,9.2,14.9,115800.0,3.0,2.9,3.5,0,5.5,No,No,5-10 Years,Q4,Good,0
EMP10064,27,Male,Sales,Sales Executive,Bachelor's,Divorced,1,2.2,3.4,45300.0,3.1,4.8,5.0,6,10.3,No,No,1-3 Years,Q1,Excellent,0
EMP10065,35,Female,Human Resources,Recruiter,Bachelor's,Divorced,3,3.6,2.0,80000.0,4.1,2.5,2.8,7,18.0,No,No,3-5 Years,Q3,Average,0
EMP10066,37,Male,IT,Software Engineer,Bachelor's,Single,2,2.5,8.6,57700.0,3.6,3.0,3.5,4,1.8,No,No,1-3 Years,Q2,Good,0
EMP10067,43,Male,Research & Development,R&D Manager,Bachelor's,Single,4,9.7,12.4,101900.0,1.6,1.6,3.8,3,3.9,No,No,5-10 Years,Q4,Good,0
EMP10068,41,Male,Human Resources,HR Specialist,Master's,Married,4,6.2,11.2,94300.0,5.0,2.6,3.8,6,12.9,Yes,Yes,5-10 Years,Q4,Good,1
EMP10069,30,Female,Sales,Sales Executive,Master's,Married,1,1.4,7.3,40700.0,1.4,3.9,2.5,7,14.6,Yes,Yes,1-3 Years,Q1,Average,1
EMP10070,34,Female,Research & Development,R&D Manager,Master's,Married,2,1.0,5.4,54200.0,3.7,3.1,4.0,5,4.5,Yes,No,<1 Year,Q1,Good,0
EMP10071,31,Male,IT,IT Manager,Bachelor's,Married,3,4.7,6.6,77300.0,2.9,2.0,1.3,3,5.0,Yes,No,3-5 Years,Q3,Low,0
EMP10072,47,Male,Research & Development,R&D Manager,Bachelor's,Divorced,3,8.9,14.6,76500.0,1.0,3.7,3.9,6,6.1,No,Yes,5-10 Years,Q3,Good,1
EMP10073,25,Male,IT,IT Support,Master's,Single,3,6.0,3.2,74000.0,2.3,3.9,4.0,2,19.0,Yes,No,5-10 Years,Q3,Good,0
EMP10074,46,Male,Research & Development,Research Scientist,Master's,Single,2,0.5,3.5,51800.0,4.5,1.5,3.8,2,22.1,No,No,<1 Year,Q1,Good,0
EMP10075,30,Female,Research & Development,Laboratory Technician,Master's,Married,4,4.0,5.8,92900.0,3.7,3.8,2.6,4,25.1,No,No,3-5 Years,Q4,Average,0
EMP10076,39,Female,Finance,Financial Analyst,Bachelor's,Single,1,0.8,2.0,41100.0,2.8,3.0,3.2,7,4.7,Yes,No,<1 Year,Q1,Good,0
EMP10077,35,Male,Sales,Sales Executive,Bachelor's,Divorced,1,0.3,1.2,42100.0,4.5,2.1,2.5,2,16.8,No,No,<1 Year,Q1,Average,0
EMP10078,35,Male,Sales,Sales Manager,Master's,Divorced,2,2.6,6.3,67500.0,3.9,2.3,3.8,2,4.0,No,No,1-3 Years,Q2,Good,0
EMP10079,20,Female,Marketing,Marketing Analyst,PhD,Single,4,6.7,11.0,101900.0,4.7,3.1,3.0,2,4.0,No,No,5-10 Years,Q4,Average,0
EMP10080,27,Male,Finance,Finance Manager,Bachelor's,Single,1,2.8,5.1,47600.0,4.1,2.9,4.6,1,15.4,No,No,1-3 Years,Q1,Excellent,0
EMP10081,41,Female,Research & Development,R&D Manager,Master's,Single,2,8.1,11.4,79700.0,5.0,3.8,1.6,4,5.9,No,No,5-10 Years,Q3,Low,0
EMP10082,20,Female,Marketing,Marketing Manager,Master's,Single,3,6.0,9.0,72900.0,3.7,1.7,3.4,3,4.7,No,No,5-10 Years,Q3,Good,0
EMP10083,49,Male,Finance,Financial Analyst,Bachelor's,Divorced,5,10.4,14.5,116700.0,3.7,2.4,4.9,3,8.1,No,No,10+ Years,Q4,Excellent,0
EMP10084,43,Female,Human Resources,HR Specialist,PhD,Single,2,6.5,7.4,64900.0,3.7,3.0,2.8,2,1.9,Yes,No,5-10 Years,Q2,Average,0
EMP10085,29,Female,Research & Development,Research Scientist,Master's,Divorced,5,12.8,16.9,132200.0,1.4,1.6,3.2,4,9.7,Yes,No,10+ Years,Q4,Good,0
EMP10086,45,Female,Sales,Sales Executive,Bachelor's,Divorced,1,2.1,9.2,48600.0,4.4,2.9,3.4,4,10.6,No,No,1-3 Years,Q1,Good,0
EMP10087,33,Male,Research & Development,R&D Manager,Master's,Married,2,0.7,3.5,52500.0,3.1,3.4,3.8,3,9.4,Yes,No,<1 Year,Q1,Good,0
EMP10088,30,Male,Marketing,Marketing Specialist,Bachelor's,Single,3,2.9,8.2,83200.0,3.1,3.6,3.5,0,1.0,No,No,1-3 Years,Q3,Good,0
EMP10089,50,Male,Marketing,Marketing Manager,Master's,Single,2,1.3,0.0,61800.0,2.6,3.7,3.7,5,5.0,No,No,1-3 Years,Q2,Good,0
EMP10090,45,Male,Sales,Sales Executive,Master's,Married,5,8.7,14.7,107300.0,2.3,2.8,3.5,2,2.3,No,Yes,5-10 Years,Q4,Good,1
EMP10091,30,Male,IT,Software Engineer,Master's,Married,5,7.0,7.5,116700.0,3.3,4.4,3.0,3,2.4,No,No,5-10 Years,Q4,Average,0
EMP10092,35,Male,Human Resources,HR Manager,Bachelor's,Married,4,4.1,7.5,91500.0,3.3,4.8,3.7,2,13.3,Yes,No,3-5 Years,Q4,Good,0
EMP10093,43,Female,Finance,Financial Analyst,Bachelor's,Married,4,8.8,8.6,99100.0,4.0,2.5,3.8,5,10.7,Yes,No,5-10 Years,Q4,Good,0
EMP10094,36,Female,Sales,Sales Manager,Master's,Married,1,1.7,2.9,57000.0,3.9,1.0,2.0,4,40.0,No,No,1-3 Years,Q2,Low,0
EMP10095,35,Male,IT,IT Support,Bachelor's,Married,2,1.4,2.4,55100.0,1.6,3.1,4.1,3,5.4,No,No,1-3 Years,Q2,Excellent,0
EMP10096,27,Male,Human Resources,HR Manager,Bachelor's,Single,2,3.7,7.9,61300.0,2.2,2.9,2.9,1,22.2,Yes,No,3-5 Years,Q2,Average,0
EMP10097,35,Male,Human Resources,Recruiter,Master's,Divorced,1,3.9,5.2,44500.0,2.4,2.3,3.4,5,1.7,No,No,3-5 Years,Q1,Good,0
EMP10098,47,Male,IT,IT Support,Bachelor's,Married,1,2.0,4.6,42800.0,3.5,3.5,4.0,2,21.2,No,No,1-3 Years,Q1,Good,0
EMP10099,35,Male,Marketing,Marketing Specialist,Bachelor's,Single,3,3.6,5.2,79300.0,3.8,2.9,2.0,2,8.3,Yes,No,3-5 Years,Q3,Low,0
EMP10100,35,Male,Sales,Sales Representative,Bachelor's,Married,3,4.4,4.3,80200.0,3.2,3.5,2.8,2,7.2,Yes,No,3-5 Years,Q3,Average,0
EMP10101,37,Male,Human Resources,HR Manager,Master's,Single,4,9.0,13.1,109400.0,3.1,2.8,4.4,3,15.2,No,No,5-10 Years,Q4,Excellent,0
EMP10102,35,Male,Research & Development,R&D Manager,Master's,Single,2,6.1,6.5,63100.0,3.7,4.8,3.4,2,8.7,Yes,No,5-10 Years,Q2,Good,0
EMP10103,42,Male,Human Resources,Recruiter,Master's,Married,4,7.3,6.9,90700.0,3.7,3.8,2.5,6,22.3,Yes,No,5-10 Years,Q4,Average,0
EMP10104,38,Male,Research & Development,R&D Manager,Master's,Married,4,6.9,9.1,109500.0,2.7,3.6,3.5,2,2.5,Yes,No,5-10 Years,Q4,Good,0
EMP10105,33,Female,Research & Development,Research Scientist,Bachelor's,Single,3,4.5,6.2,71400.0,2.1,3.3,3.6,5,11.9,Yes,No,3-5 Years,Q3,Good,0
EMP10106,22,Male,IT,IT Manager,PhD,Single,4,7.6,9.2,89800.0,3.4,2.5,2.0,5,6.9,No,No,5-10 Years,Q4,Low,0
EMP10107,50,Male,IT,IT Support,Master's,Divorced,3,6.2,7.7,81300.0,2.8,3.9,2.5,2,10.3,No,No,5-10 Years,Q3,Average,0
EMP10108,32,Female,Finance,Financial Analyst,Bachelor's,Single,1,2.2,4.1,42600.0,3.1,1.9,4.5,4,17.4,Yes,Yes,1-3 Years,Q1,Excellent,1
EMP10109,37,Female,IT,IT Manager,Master's,Married,3,4.8,5.0,89400.0,3.9,3.7,3.7,3,29.3,Yes,No,3-5 Years,Q4,Good,0
EMP10110,36,Male,Research & Development,Research Scientist,Master's,Single,2,1.6,3.0,54500.0,2.3,5.0,3.6,2,7.1,No,No,1-3 Years,Q1,Good,0
EMP10111,35,Female,Human Resources,HR Specialist,Master's,Married,1,1.0,3.3,45400.0,4.2,3.4,1.1,3,1.0,No,No,<1 Year,Q1,Low,0
EMP10112,47,Female,Finance,Accountant,High School,Single,3,7.6,11.4,83900.0,4.4,3.3,2.0,7,7.8,Yes,No,5-10 Years,Q3,Low,0
EMP10113,21,Male,Research & Development,Laboratory Technician,Bachelor's,Single,3,4.2,6.2,72600.0,3.9,2.1,2.8,4,4.9,Yes,No,3-5 Years,Q3,Average,0
EMP10114,38,Female,Finance,Finance Manager,PhD,Single,4,5.5,9.8,79100.0,3.3,3.7,2.9,1,13.6,No,No,5-10 Years,Q3,Average,0
EMP10115,32,Female,Human Resources,Recruiter,High School,Single,4,5.6,7.0,95400.0,4.7,4.6,3.5,3,17.0,No,No,5-10 Years,Q4,Good,0
EMP10116,33,Female,Sales,Sales Representative,PhD,Married,2,0.7,3.8,52000.0,2.5,3.8,3.2,4,29.9,No,Yes,<1 Year,Q1,Good,1
EMP10117,26,Female,Research & Development,Research Scientist,Master's,Single,4,7.2,11.0,99900.0,2.6,3.5,3.6,2,27.9,No,No,5-10 Years,Q4,Good,0
EMP10118,37,Female,Sales,Sales Representative,Master's,Divorced,3,6.0,9.2,75000.0,3.5,2.3,4.4,6,3.9,No,Yes,5-10 Years,Q3,Excellent,1
EMP10119,39,Female,Human Resources,Recruiter,Bachelor's,Single,2,2.7,6.9,62800.0,4.3,2.7,3.1,1,5.7,Yes,No,1-3 Years,Q2,Good,0
EMP10120,27,Male,Finance,Finance Manager,Bachelor's,Married,3,5.6,8.7,87300.0,2.6,3.5,2.9,7,22.6,No,No,5-10 Years,Q3,Average,0
EMP10121,41,Female,Finance,Financial Analyst,Bachelor's,Married,2,7.9,11.0,72700.0,4.0,4.4,1.9,3,10.3,Yes,No,5-10 Years,Q3,Low,0
EMP10122,35,Male,IT,IT Support,Bachelor's,Married,2,5.5,9.2,67800.0,1.9,3.7,4.8,2,8.2,No,No,5-10 Years,Q2,Excellent,0
EMP10123,35,Male,Sales,Sales Representative,Bachelor's,Single,1,2.9,6.9,41300.0,2.2,4.4,3.9,6,8.9,No,No,1-3 Years,Q1,Good,0
EMP10124,32,Male,Human Resources,Recruiter,Master's,Married,1,2.1,7.4,43700.0,2.3,2.8,2.7,2,3.4,No,No,1-3 Years,Q1,Average,0
EMP10125,26,Female,Marketing,Marketing Manager,Master's,Single,2,1.6,1.9,57300.0,2.9,2.7,4.3,3,1.8,No,No,1-3 Years,Q2,Excellent,0
EMP10126,60,Female,Marketing,Marketing Manager,Bachelor's,Married,2,1.9,3.5,62000.0,3.6,2.4,2.4,7,13.0,No,No,1-3 Years,Q2,Average,0
EMP10127,51,Male,Research & Development,R&D Manager,Bachelor's,Married,1,1.7,2.3,40200.0,3.7,3.9,3.2,2,5.3,No,No,1-3 Years,Q1,Good,0
EMP10128,29,Male,Research & Development,R&D Manager,PhD,Single,2,3.6,3.5,58500.0,3.2,3.2,3.4,2,5.3,Yes,No,3-5 Years,Q2,Good,0
EMP10129,20,Male,Research & Development,Laboratory Technician,High School,Single,4,4.9,5.7,102900.0,2.1,3.2,3.2,4,4.5,Yes,No,3-5 Years,Q4,Good,0
EMP10130,47,Female,Human Resources,HR Manager,High School,Married,3,5.3,6.3,75900.0,3.7,1.1,3.8,1,4.8,No,No,5-10 Years,Q3,Good,0
EMP10131,39,Female,Sales,Sales Manager,Bachelor's,Single,2,0.3,2.1,46100.0,4.5,2.4,3.3,3,4.4,Yes,No,<1 Year,Q1,Good,0
EMP10132,26,Female,IT,IT Support,Master's,Married,2,0.5,6.2,58200.0,3.8,3.7,4.1,3,6.5,No,No,<1 Year,Q2,Excellent,0
EMP10133,33,Male,Marketing,Marketing Specialist,Master's,Single,2,2.8,6.7,52600.0,2.6,3.8,4.3,3,12.6,Yes,Yes,1-3 Years,Q1,Excellent,1
EMP10134,32,Female,Marketing,Marketing Analyst,Bachelor's,Married,3,4.6,11.2,79400.0,2.4,2.7,2.2,1,17.0,No,No,3-5 Years,Q3,Average,0
EMP10135,39,Male,IT,Software Engineer,Bachelor's,Single,2,1.3,1.7,50800.0,4.3,2.1,3.7,1,9.7,No,Yes,1-3 Years,Q1,Good,1
EMP10136,37,Male,IT,IT Manager,Master's,Married,2,4.5,7.7,66400.0,3.5,4.6,3.1,4,8.0,No,No,3-5 Years,Q2,Good,0
EMP10137,23,Male,Finance,Financial Analyst,Master's,Married,5,16.0,21.3,132400.0,3.6,3.9,3.3,5,30.6,No,No,10+ Years,Q4,Good,0
EMP10138,35,Male,Research & Development,Research Scientist,Bachelor's,Single,1,1.9,4.6,38400.0,2.7,2.4,2.2,0,13.0,No,Yes,1-3 Years,Q1,Average,1
EMP10139,25,Female,Sales,Sales Executive,Bachelor's,Married,3,5.6,10.1,70300.0,2.9,2.9,2.9,2,6.2,No,No,5-10 Years,Q3,Average,0
EMP10140,38,Female,Research & Development,Research Scientist,Master's,Single,2,4.1,3.9,52800.0,1.7,3.3,3.1,2,16.6,No,No,3-5 Years,Q1,Good,0
EMP10141,34,Male,Finance,Financial Analyst,Master's,Single,3,6.2,5.7,87400.0,4.3,3.1,2.9,4,4.9,No,No,5-10 Years,Q3,Average,0
EMP10142,31,Female,Research & Development,Research Scientist,Master's,Divorced,2,4.3,2.9,60300.0,3.1,2.9,3.9,0,18.7,No,No,3-5 Years,Q2,Good,0
EMP10143,35,Female,Research & Development,Laboratory Technician,Master's,Divorced,1,0.2,2.4,44100.0,2.1,1.8,3.5,2,6.4,Yes,Yes,<1 Year,Q1,Good,1
EMP10144,32,Female,Sales,Sales Representative,Bachelor's,Single,5,12.4,15.5,131900.0,4.8,3.8,3.1,3,3.7,No,No,10+ Years,Q4,Good,0
EMP10145,32,Male,Marketing,Marketing Specialist,Bachelor's,Married,3,5.0,7.9,74300.0,2.8,2.4,3.3,3,4.4,No,No,3-5 Years,Q3,Good,0
EMP10146,39,Male,Sales,Sales Executive,Bachelor's,Divorced,1,1.7,7.2,57100.0,3.6,3.8,2.6,4,11.4,Yes,No,1-3 Years,Q2,Average,0
EMP10147,37,Male,IT,Software Engineer,Master's,Single,1,2.5,6.1,54700.0,3.5,3.9,2.4,2,16.2,No,No,1-3 Years,Q1,Average,0
EMP10148,41,Female,Marketing,Marketing Analyst,High School,Divorced,1,4.1,11.1,47000.0,3.4,3.8,2.2,2,4.5,No,No,3-5 Years,Q1,Average,0
EMP10149,47,Male,IT,IT Manager,High School,Married,3,1.3,3.0,62000.0,2.7,2.4,1.9,3,9.3,No,Yes,1-3 Years,Q2,Low,1
EMP10150,36,Female,IT,Software Engineer,Bachelor's,Single,2,4.0,10.7,57500.0,4.0,2.5,3.8,3,18.1,No,No,3-5 Years,Q2,Good,0
EMP10151,26,Male,Marketing,Marketing Analyst,PhD,Married,2,5.7,9.8,65600.0,2.5,3.1,3.7,5,4.2,No,No,5-10 Years,Q2,Good,0
EMP10152,40,Male,Sales,Sales Manager,Bachelor's,Married,2,4.9,9.2,59600.0,2.6,3.5,2.5,5,3.1,No,No,3-5 Years,Q2,Average,0
EMP10153,47,Male,Human Resources,Recruiter,Master's,Married,2,3.2,2.1,60600.0,3.1,2.1,3.8,5,1.0,No,No,3-5 Years,Q2,Good,0
EMP10154,39,Male,Sales,Sales Manager,Bachelor's,Married,1,4.5,8.1,50600.0,2.5,2.8,2.3,3,4.3,No,No,3-5 Years,Q1,Average,0
EMP10155,25,Female,Finance,Financial Analyst,PhD,Married,2,5.1,7.2,64000.0,3.7,2.4,2.7,1,11.8,Yes,No,5-10 Years,Q2,Average,0
EMP10156,36,Male,Finance,Accountant,Bachelor's,Married,2,0.5,3.1,58600.0,4.9,3.7,3.1,4,5.7,No,No,<1 Year,Q2,Good,0
EMP10157,32,Female,Finance,Accountant,High School,Divorced,1,4.3,9.2,48500.0,3.4,1.5,2.8,3,4.1,No,No,3-5 Years,Q1,Average,0
EMP10158,33,Female,IT,Software Engineer,Master's,Single,2,1.8,4.1,48100.0,3.6,3.0,2.1,8,13.9,No,No,1-3 Years,Q1,Average,0
EMP10159,36,Female,Human Resources,HR Manager,Master's,Married,1,1.9,5.5,50400.0,4.4,3.5,3.5,5,17.3,No,No,1-3 Years,Q1,Good,0
EMP10160,34,Male,Sales,Sales Manager,Master's,Single,4,3.8,9.1,91300.0,3.6,3.1,3.8,2,15.7,No,No,3-5 Years,Q4,Good,0
